Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-Jul-18,1797,1815,1785.7,1802.15,1803.078035,346,59,623865,253,73.12,29.3,5.15
23-Jul-18,1813,1814.4,1767.75,1794.25,1795.642229,341,89,612314,216,63.34,46.65,-18.75
20-Jul-18,1769.1,1798.95,1743,1777.6,1759.8125,704,140,1238908,275,39.06,55.95,8.5
19-Jul-18,1761.05,1794.95,1761,1786.7,1778.077966,590,81,1049066,351,59.49,33.95,25.65
18-Jul-18,1889.9,1889.9,1745.05,1749.9,1784.122493,1396,231,2490635,229,16.4,144.85,-140
17-Jul-18,1792.7,1841.75,1743.8,1765.75,1790.041723,15651,370,28015943,12580,80.38,97.95,-26.95
16-Jul-18,1770,1780,1745,1758.5,1763.964398,12724,52,22444683,12549,98.62,35,-11.5
13-Jul-18,1793.05,1794.95,1765,1770.8,1766.531,46162,36,81546604,46049,99.76,29.95,-22.25
12-Jul-18,1802.45,1802.45,1745.6,1767.45,1774.916671,20629,97,36614756,20217,98,56.85,-35
11-Jul-18,1801.65,1808.45,1775.15,1786.6,1797.805596,19835,61,35659474,19729,99.47,33.3,-15.05
10-Jul-18,1826.2,1834.9,1784.75,1799.6,1810.063492,189,67,342102,90,47.62,50.15,-26.6
9-Jul-18,1804.65,1838.05,1799,1801.65,1817.402247,445,57,808744,232,52.13,39.05,-3
6-Jul-18,1802.65,1805,1800,1804.65,1803.673077,52,5,93791,27,51.92,5,2
5-Jul-18,1790,1807.15,1775,1793.7,1797.597865,281,65,505125,215,76.51,32.15,3.7
4-Jul-18,1761.45,1786,1760,1782.9,1773.819149,94,21,166739,27,28.72,26,21.45
3-Jul-18,1785.6,1804.4,1740,1764.45,1799.493512,10249,78,18443009,10158,99.11,64.4,-21.15
2-Jul-18,1800.95,1805,1788,1803.5,1799.815951,163,19,293370,128,78.53,17,2.55
29-Jun-18,1777.05,1836,1777.05,1806.55,1813.928433,517,78,937801,279,53.97,58.95,29.5
28-Jun-18,1778.05,1790.15,1778,1789.65,1783.677686,363,27,647475,267,73.55,12.15,11.6
27-Jun-18,1780,1798.95,1780,1786.25,1782.867925,371,22,661444,348,93.8,18.95,6.25
26-Jun-18,1805.35,1805.35,1780,1780.05,1783.261146,157,18,279972,92,58.6,25.35,-25.3
25-Jun-18,1791.85,1804.95,1781.75,1789.75,1796.3659,522,47,937703,341,65.33,23.2,-2.1
22-Jun-18,1772,1787.95,1765,1778,1776.477435,842,64,1495794,579,68.76,22.95,6
21-Jun-18,1761.6,1766.95,1741.05,1764.4,1759.816901,142,31,249894,73,51.41,25.9,2.8
20-Jun-18,1750,1770,1750,1752.9,1754.6875,336,55,589575,280,83.33,20,2.9
