Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-Jan-18,97,97.4,94,94.35,95.89723664,377294,1553,36181452,97664,25.89,3.4,-2.65
8-Jan-18,92.95,96.9,92.9,96.3,95.44204534,838552,2962,80033118,204393,24.37,4,3.35
5-Jan-18,92.1,93.8,92.1,92.8,93.06497613,689761,1458,64192591,153942,22.32,1.7,0.7
4-Jan-18,91.5,93.6,90.5,92.75,92.09199524,404347,1645,37237122,131739,32.58,3.1,1.25
3-Jan-18,91,93.1,91,91.45,92.00556472,208636,867,19195673,54675,26.21,2.1,0.45
2-Jan-18,93.15,93.6,89.65,90.65,91.02174212,596906,1830,54331424,95052,15.92,3.95,-2.5
1-Jan-18,93.5,95.25,92,92.75,93.70041957,488837,1726,45804232,118669,24.28,3.25,-0.75
29-Dec-17,93.1,94.3,91.7,92.85,93.18229136,563883,1756,52543910,130162,23.08,2.6,-0.25
28-Dec-17,91,93.45,90.55,92.55,92.16392745,585204,2039,53934699,136701,23.36,2.9,1.55
27-Dec-17,91.25,92.1,89.65,90.45,90.79316369,236385,819,21462142,51735,21.89,2.45,-0.8
26-Dec-17,90.8,91.75,90.3,90.8,90.88204244,157243,608,14290565,46579,29.62,1.45,0
22-Dec-17,91.4,92.55,90.4,90.7,91.44784217,471655,2187,43131832,153469,32.54,2.15,-0.7
21-Dec-17,88.8,91.95,88.05,91.05,90.24571738,937101,4838,84569352,253032,27,3.9,2.25
20-Dec-17,87,88.8,86.5,87.95,87.46313205,272052,1895,23794520,84833,31.18,2.3,0.95
19-Dec-17,86.5,87.35,86,87.05,86.39368338,958519,1980,82809987,726156,75.76,1.35,0.55
